monogram_id,labels_saranga,labels_ezechiel,labels_barry,quality_label,Remarks,Remarks2,split
238__5.15__325,2,M2,M2,2,,,train
239__5.181__64,1,M1,M0,1,,,train
206__4.2__366,1,M2,M2,1,not-so-good contrast,,train
184__3.13__443,2,M0,M2,2,"Why M0, eze?",,train
278__8.40__436,0,M2,M0,0,,"why M2, eze?",train
275__4.39__329,2,M0,M1,2,clash,"very poor contrast, why M0, eze?",train
198__3.33__320,1,M1,M2,1,,,train
304__3.6__449,1,M2,M2,2,,,train
285__2.44__59,1,M2,M2,2,top symbol broken,,train
83__2.23__327,1,M2,M1,1,,,train
311__3.40__288,2,M1,M1,2,,,train
132__5.253__475,0,M1,M2,1,clash,why M2 barry?,train
279__5.203__463,2,M1,M2,2,,,train
273__8.17__438,0,M0,M1,0,,,train
249__4.36__696,1,M0,M2,2,clash,,train
284__8.41__477,1,M2,M2,2,,,train
286__5.209__256,2,M1,M2,2,,,train
339__5.260__637,2,M2,M0,2,,,train
248__5.17__260,0,M1,M1,0,"Clearly visible, good contrast",,train
237__5.179__487,2,M1,M2,2,,,train
276__4.38__434,1,M1,M2,1,,,train
303__5.224__197,2,M2,M2,2,,,train
124__5.67-68__183,0,M1,M2,0,clash,quite clear,train
49__4.1__150,1,M2,M2,1,broken part is not inside,,train
274__8.39__461,1,M1,M2,1,,,train
162__3.16__440,0,M1,M1,0,quite clear,,train
174__2.26__285,1,M2,M2,1,just poor contrast,,train
332__8.37__631,2,M1,M2,2,,,train
39__4.23__274,1,M2,M1,1,,,train
314__2.54__52,2,M2,M2,2,,,train
325__5.200__113,1,M2,M1,1,,,train
283__2.32__210,0,M1,M0,0,,,train
53__5.42__667,2,M2,M2,2,,,train
324__2.17__209,1,M1,M1,1,,,train
215__5.163__624,1,M2,M2,2,,,train
230__3.27__252,1,M3,M2,2,clash,,train
84__5.173__450,0,M1,M1,0,very clear,,train
254__5.32__261,1,M1,M2,1,,,train
40__8.18__584,0,M0,M0,0,,,train
302__5.221__165,1,M1,M1,1,,,train
301__5.222__147,2,M1,M2,2,,,train
231__2.12__492,1,M2,M1,1,,,train
155__5.171__355,0,M2,M2,1,"why M2 eze, barry?",,train
204__5.155__78,1,M1,M2,1,,,train
199__5.55-56__161,1,M2,M2,1,no major damage,,train
333__2.6__38,2,M1,M2,2,,,train
305__5.226__707,1,M1,M1,1,,,train
166__5.141-142__307,1,M1,M2,1,,,train
98__5.71-72__516,1,M1,M1,1,,,train
57__5.53__513,3,M2,M3,3,,,train
159__5.95__332,2,M1,M2,2,,,train
223__5.168__718,3,M2,M1,3,"totally dispositioned monogram, barely visible",,train
75__5.59__100,0,M2,M0,0,Why M2 eze?,,train
77__4.7__124,1,M1,M2,1,,,train
44__3.12__510,0,M2,M1,0,clash,"very clear, why M2 eze?",train
22__5.14__571,2,M1,M2,2,,,train
103__5.79__715,2,M0,M3,2,clash,"why M3 barry, why M0 eze?",train
337__7.17__697,2,M1,M3,2,clash,,train
180__5.135__284,1,M1,M1,1,,,train
VI__5.44__16,2,M1,M1,1,,,train
I__2.9__315,1,M2,M2,1,no major damage,,train
227__5.169__55,2,M2,M1,2,,,train
56__4.40__217,1,M1,M2,1,,,train
185__2.55__740,1,M2,M2,1,only partial damage,,train
147__5.234__593,1,M2,M2,1,not-so-good contrast,,train
255__5.188__692,3,M1,M3,3,,,train
111__5.83__482,1,M1,M2,1,,,train
328__5.202__380,2,M2,M1,2,,,train
90__4.4__30,1,M2,M2,1,"nothing broken, just contrast problem",,train
102__5.78__169,1,M2,M1,1,,,train
20__5.17__260,1,M1,M1,1,,,train
252__5.189__605,1,M1,M2,1,,,train
277__5.209__256,2,M1,M2,2,,,train
272__5.197__464,2,M1,M2,2,,,train
178__5.49__312,1,M1,M2,1,,,train
V__8.38__245,2,M2,M2,2,,,train
87__4.6__53,1,M2,M2,1,only contrast problem,,train
288__4.14__74,1,M2,M2,2,"Right E not complete, bottom O partially broken",,train
60__5.86__639,1,M2,M2,2,,,train
XI__7.4__404,1,M3,M1,1,"why M3, eze?",,train
30__5.28__691,2,M3,M2,2,,,train
125__2.40__164,1,M1,M1,1,,,train
179__5.122__202,0,M1,M0,0,,,train
9__4.47__62,0,M2,M0,0,Why M2 eze?,,train
194__3.44__446,1,M2,M2,1,"Why M2, eze, barry?",,train
228__5.173__450,2,M1,M2,2,,,train
128__8.24__796,2,M2,M3,2,,,train
232__8.29__289,1,M1,M1,1,,,train
315__5.228__717,1,M1,M0,1,,,train
107__5.254__435,0,M0,M1,0,,,train
61__5.96__34,0,M1,M1,0,Quite clear,,train
205__5.156__454,1,M1,M2,1,,,train
307__3.49__114,0,M2,M0,0,,,train
240__5.180__618,2,M2,M2,2,,,train
222__8.28__668,3,M2,M3,3,,,train
224__5.167__167,1,M2,M1,1,,,train
212__5.160__57,1,M2,M1,1,,,train
81__5.65__101,0,M2,M0,0,Why M2 eze?,,train
299__5.220__160,1,M2,M1,1,,,train
306__3.46__330,2,M2,M2,2,,,train
100__5.75__215,1,M2,M3,2,clash,,train
192__5.148__248,1,M1,M2,1,,,train
82__2.22__322,1,M2,M1,1,,,train
78__5.60__83,2,M2,M2,2,,,train
145__4.32__379,0,M0,M1,0,,,train
96__4.10__162,1,M0,M3,1,clash,why M3 barry?,train
197__5.152__188,0,M2,M1,1,clash,"confusion, other symbols present",train
7__2.2__484,3,M2,M3,3,,,train
225__5.171__355,1,M2,M2,2,,,train
73__5.99__98,3,M2,M2,3,entire middle structure damaged,an exceptional case to otherwise M2 case,train
141__2.29__378,0,M2,M2,1,not-so-good contrast,,train
161__3.19__42,1,M2,M2,2,,,train
54__5.49__312,1,M1,M2,1,,,train
121__5.268__518,1,M2,M2,1,still visible despite bottom broken,,train
293__8.42__249,1,M0,M2,1,clash,,train
317__5.257-258__159,0,M2,M1,1,clash,"Why M2, eze?",train
296__5.218__172,2,M2,M2,2,,,train
165__5.143__225,1,M1,M2,1,,,train
256__3.22__514,3,M1,M2,3,clash,"Why M1, eze?",train
5__4.4__30,1,M1,M1,1,,,train
264__5.193-195__458,0,M0,M1,0,,,train
271__8.38__245,2,M1,M2,2,,,train
11__5.47__5,2,M2,M2,2,,,train
2__3.8__466,1,M1,M1,1,,,train
113__5.85__331,1,M1,M2,1,,,train
135__5.245__178,1,M2,M2,1,"why M2 eze, barry?",,train
308__3.33__320,2,M2,M2,2,,,train
195__2.27__491,2,M1,M2,2,,,train
37__5.40__204,1,M1,M2,1,,,train
235__5.176__61,0,M1,M0,0,,,train
21__5.15__325,1,M2,M1,1,,,train
233__5.175__489,1,M1,M2,1,,,train
67__5.94__94,1,M1,M2,1,,,train
217__5.264__26,1,M0,M2,1,clash,,train
115__2.66__437,1,M2,M2,1,nothing broken,,train
46__8.19__542,3,M1,M3,3,Why M1 eze?,,train
229__3.21__375,1,M1,M1,1,,,train
17__5.9__319,2,M2,M1,2,,,train
176__3.39__126,3,M2,M2,3,not so legible,,train
171__3.1__277,1,M2,M0,1,clash,,train
43__3.12__508,1,M2,M1,1,,,train
97__3.35__368,1,M2,M2,2,,,train
XII__7.8__201,1,M2,M2,2,,,train
VII__5.139__9,1,M1,M1,1,,,train
76__4.26__232,0,M0,M0,0,,,train
327__8.35__530,2,M2,M2,2,,,train
190__5.147__40,2,M1,M2,2,,,train
89__4.20__328,1,M3,M1,1,,,train
59__5.87__6,1,M1,M1,1,,,train
86__5.69__22,1,M1,M1,1,,,train
12__5.45__762,1,M3,M2,2,clash,"perhaps if entire letters are absent, 2 is better",train
270__5.2__538,1,M1,M2,1,,,train
157__5.104__738,1,M2,M1,1,,,train
154__8.44__395,1,M1,M2,1,,,train
186__2.31__208,1,M1,M2,1,,,train
209__3.20__658,3,M2,M2,3,not legible,,train
149__4.18__311,2,M2,M2,2,,,train
281__5.204__646,1,M0,M2,2,clash,,train
127__5.102__502,2,M1,M2,2,,,train
322__3.24__369,1,M1,M2,1,,,train
226__5.170__523,1,M2,M2,2,,,train
25__5.20-22__704,1,M1,M1,1,,,train
120__5.263__127,2,M2,M3,2,,,train
245__5.188__692,3,M1,M3,3,,,train
116__5.261__207,2,M2,M2,2,,,train
70__5.97__163,1,M1,M1,1,,,train
104__5.80__381,1,M2,M2,1,contrast problem,,train
330__5.18__470,2,M1,M2,2,,,train
163__8.27__800,2,M2,M2,2,,,train
220__3.46__330,2,M1,M3,2,clash,,train
72__3.36__775,2,M2,M3,2,,,train
142__5.247__48,0,M2,M1,1,clash,,train
108__5.82__373,0,M1,M1,0,quite clear,,train
32__5.30-31__623,1,M2,M2,2,,,train
146__5.250__433,1,M1,M2,1,,,train
236__8.30__515,2,M2,M2,2,,,train
117__4.36__696,1,M0,M2,1,clash,,train
319__8.26__81,2,M2,M2,2,,,train
253__5.191__234,0,M0,M0,0,,,train
85__2.26__285,1,M2,M2,1,"top symbol not broken off, only faded",,train
19__2.5__712,1,M3,M2,2,Why M3 eze?,"perhaps if entire letters are absent, 2 is better",train
140__5.248__106,0,M1,M1,0,,,train
99__5.74__666,1,M2,M2,1,all letters present,,train
94__5.73__170,1,M2,M2,2,,,train
131__4.21__310,1,M1,M2,1,,,train
265__5.192__211,1,M0,M1,1,,,train
156__5.217__442,1,M1,M2,1,,,train
58__5.54__392,0,M0,M0,0,,,train
II__2.11__334,1,M2,M2,1,,,train
312__5.227__376,0,M1,M1,0,quite clear,,train
173__5.111__46,0,M2,M0,0,Why M2 eze?,,train
214__4.3__367,1,M2,M2,1,,,train
262__2.49__306,2,M2,M2,2,,,train
313__7.6__499,1,M1,M2,1,,,train
14__5.6__665,2,M2,M3,2,,,train
136__5.231__242,2,M2,M3,2,,,train
289__3.49__114,0,M2,M1,0,clearly visible,,train
123__5.66__218,2,M1,M3,2,clash,,train
218__5.165__389,0,M1,M0,0,,,train
213__5.162__652,1,M2,M1,1,,,train
6__3.30__31,1,M1,M2,1,,,train
35__5.36__748,1,M1,M1,1,,,train
260__2.58__339,1,M1,M2,1,,,train
250__3.26__20,1,M2,M2,2,,,train
267__8.32__578,2,M2,M3,2,,,train
152__2.47__314,1,M2,M2,1,only partial damage of ligature,,train
326__5.201__149,2,M1,M2,2,,,train
294__2.58__339,2,M2,M2,2,,,train
16__5.8__230,0,M1,M1,1,,,train
150__4.17__185,1,M1,M2,1,,,train
65__5.95__332,1,M2,M1,1,,,train
158__5.103__711,2,M3,M2,2,,,train
290__5.211__432,1,M2,M2,1,,,train
93__2.25__97,0,M1,M1,0,very clear,,train
266__2.43__752,2,M2,M2,2,,,train
193__5.149__219,1,M1,M1,1,,,train
200__8.21__498,1,M3,M2,1,clash,"why M3, eze?",train
170__5.106__27,1,M1,M2,1,,,train
27__2.6__38,1,M2,M1,1,,,train
297__8.43__520,2,M2,M2,2,,,train
4__5.2__538,2,M3,M2,2,,,train
48__4.6__53,1,M2,M1,1,,,train
68__4.12__214,1,M2,M3,1,clash,only contrast problem,train
74__5.72__703,1,M2,M2,2,,,train
183__3.11__286,2,M2,M2,2,,,train
130__4.20__328,1,M1,M2,1,,,train
VIII__5.178__190,2,M2,M2,2,,,train
207__4.30__455,2,M3,M2,2,,,train
257__5.187__663,1,M2,M2,1,,,train
280__5.27__37,1,M2,M0,1,clash,,train
133__5.254__435,0,M0,M1,0,,,train
148__4.19__326,2,M1,M1,1,acceptable damage,,train
IV__5.159__318,2,M2,M2,2,,,train
110__2.41__497,3,M2,M3,3,,,train
31__5.29__409,3,M2,M3,3,,,train
153__3.15__186,1,M2,M2,1,"poor contrast, no damage",,train
15__5.7__56,2,M2,M2,2,,,train
18__5.12__753,2,M2,M3,2,,,train
331__8.36__809,3,M2,M2,3,ilegible,,train
101__5.76-77__335,0,M1,M1,0,very clear,,train
323__8.34__472,2,M1,M2,2,,,train
259__2.28__720,1,M1,M2,1,,,train
119__5.265-266__84,0,M1,M1,0,quite clear,,train
175__5.109-110__721,1,M3,M2,1,clash,poor contrast,train
151__2.48__313,1,M1,M2,1,,,train
105__4.11__63,0,M1,M1,0,very clear,Why M1 barry eze?,train
292__2.22__322,0,M2,M0,0,,,train
211__5.159__318,1,M1,M2,1,,,train
33__5.35__12,2,M1,M2,2,,,train
316__5.256__701,2,M1,M2,2,,,train
129__8.25__619,2,M2,M2,2,,,train
91__5.70__727,2,M1,M2,2,,,train
282__5.205__247,1,M1,M2,1,,,val
64__5.90-91__92,2,M0,M2,2,,,val
181__2.44__59,0,M1,M0,0,,,val
251__5.190__259,2,M2,M2,2,,,val
196__5.85__331,1,M0,M2,1,clash,,val
329__5.53__513,3,M2,M2,3,Most of it is broken,,val
201__8.20__125,1,M2,M2,2,,,val
318__5.259__4,1,M2,M2,2,,,val
287__5.213__468,2,M2,M2,2,,,val
26__5.23-27__154,1,M1,M2,1,,,val
38__5.41__130,2,M2,M3,2,,,val
3__3.8__466,1,M1,M1,1,,,val
172__5.108__636,1,M2,M2,1,no damage,,val
169__3.38__469,2,M1,M2,2,,,val
139__2.4__371,1,M2,M2,1,Only part of ligature broken,,val
210__5.158__250,2,M3,M2,2,,,val
50__3.16__440,0,M0,M0,0,,,val
13__5.225__323,1,M1,M1,1,,,val
182__3.3__70,1,M1,M2,1,,,val
246__5.185__224,1,M2,M2,2,Top ligature vanished,,val
208__5.250__433,1,M1,M2,1,,,val
112__5.84__633,1,M2,M1,1,,,val
241__5.182-183__212,1,M1,M2,1,,,val
167__2.11__334,1,M1,M2,1,,,val
203__3.26__20,0,M2,M2,1,,,val
300__5.219__676,3,M2,M2,2,,,val
47__5.44__16,0,M1,M0,0,,,val
134__2.20__193,0,M0,M1,0,,,val
1__5.249__699,1,M2,M1,1,,,test
8__5.5__258,1,M1,M0,1,,,test
10__5.46__706,0,M3,M1,1,clash,,test
23__5.16__370,1,M1,M2,1,,,test
24__8.17__438,0,M1,M0,0,,,test
28__4.39__329,2,M2,M2,2,,,test
29__5.32__261,1,M3,M2,1,,1 letter broken,test
34__5.170__523,3,M2,M3,3,,,test
36__5.39__659,2,M1,M3,2,clash,,test
41__8.18__582,1,M0,M0,0,,,test
42__8.18__581,1,M0,M0,0,,,test
45__3.28__511,0,M1,M0,0,,,test
51__5.43__337,2,M2,M2,2,,,test
52__5.9__319,1,M1,M2,1,,,test
55__5.50__754,2,M2,M3,2,,,test
62__2.10__95,1,M0,M2,1,clash,top part is slightly broken,test
63__5.89__66,1,M0,M2,1,clash,top part is slightly broken,test
66__5.92__91,1,M2,M2,2,,,test
69__3.14__96,0,M1,M1,0,Quite clear,,test
71__5.100__702,1,M2,M2,2,,,test
79__5.62-63__444,1,M1,M2,1,,,test
80__5.135__284,1,M1,M1,1,,,test
88__4.14__74,0,M1,M0,0,,,test
92__2.8__453,2,M2,M2,2,,,test
95__8.23__785,1,M3,M3,2,not illegeible,,test
106__5.81__189,2,M1,M2,2,,,test
109__5.10__521,2,M1,M3,2,clash,very poor contrast,test
114__2.9__315,1,M0,M2,2,clash,half of it is missing,test
118__2.33__87,1,M1,M2,1,,,test
122__5.269__216,1,M1,M2,1,,,test
126__5.101__503,1,M1,M3,1,why M3 barry?,,test
137__5.251__60,1,M1,M2,1,,,test
138__5.233__795,3,M2,M3,3,,,test
143__2.23__327,2,M2,M2,2,,,test
144__5.244__221,1,M1,M2,1,,,test
160__3.10__439,1,M1,M2,1,,,test
164__5.144__226,1,M1,M1,1,,,test
168__5.107__71,2,M1,M2,2,,,test
177__2.61__278,0,M1,M0,0,,,test
187__5.139__9,0,M2,M0,0,"why M2, eze?",,test
188__5.145__187,1,M1,M2,1,,,test
189__5.146__340,1,M2,M2,2,,,test
191__3.43__338,1,M2,M2,1,top Y partially broken,,test
202__3.18__374,1,M1,M2,1,,,test
216__5.164__726,2,M3,M2,2,,,test
219__3.19__42,2,M3,M3,3,,,test
221__5.166__73,2,M1,M2,2,clash,,test
234__5.174__272,1,M1,M2,1,,,test
242__2.21__309,2,M1,M2,2,,,test
243__8.45__648,1,M2,M2,2,,,test
244__5.184__148,0,M0,M2,0,,,test
247__5.186__303,0,M1,M1,1,,,test
258__3.4__157,1,M1,M0,1,,,test
261__8.31__460,2,M1,M2,2,,,test
263__2.16__110,1,M0,M2,1,clash,partially broken top ligature,test
268__5.196-197__462,2,M1,M2,2,,,test
269__8.33__112,1,M1,M2,1,,,test
291__5.212__251,1,M1,M1,1,,,test
295__5.217__442,2,M1,M2,2,,,test
298__5.225__323,2,M2,M2,2,,,test
310__3.44__446,1,M2,M0,1,clash,,test
320__5.94__94,1,M0,M2,1,clash,,test
321__3.14__96,0,M2,M0,0,,,test
334__2.18__324,1,M0,M1,1,,,test
335__2.15__372,1,M1,M2,1,,,test
336__3.32__333,2,M2,M2,2,,,test
338__8.46__457,3,M2,M2,2,,,test
III__3.13__443,1,M1,M2,1,,,test
IX__4.19__326,3,M2,M2,2,,,test
X__2.66__437,1,M2,M1,1,,,test
